glyph_name,ps_name,USV,DesignerOrder,bcp47tags,Feat
.notdef,.notdef,,0,,
space,space,0020,4,,
space-ar,space.ar,,5,,
exclam,exclam,0021,7,,
quotedbl,quotedbl,0022,9,,
numbersign,numbersign,0023,10,,
dollar,dollar,0024,11,,
percent,percent,0025,12,,
ampersand,ampersand,0026,13,,
quotesingle,quotesingle,0027,14,,
parenleft,parenleft,0028,15,,
parenright,parenright,0029,17,,
asterisk,asterisk,002A,19,,
plus,plus,002B,21,,
comma,comma,002C,22,,
hyphentwo,uni2010,2010,23,,
hyphen,hyphen,002D,24,,
period,period,002E,25,,
slash,slash,002F,27,,
zero,zero,0030,28,,
zero.small,zero.small,,30,,
zero.pnum,zero.pnum,,31,,pnum
one,one,0031,32,,
one.small,one.small,,34,,
one.pnum,one.pnum,,36,,pnum
two,two,0032,37,,
two.small,two.small,,39,,
two.pnum,two.pnum,,41,,pnum
three,three,0033,42,,
three.small,three.small,,44,,
three.pnum,three.pnum,,46,,pnum
four,four,0034,47,,
four.small,four.small,,49,,
four.pnum,four.pnum,,51,,pnum
five,five,0035,52,,
five.small,five.small,,54,,
five.pnum,five.pnum,,55,,pnum
six,six,0036,56,,
six.small,six.small,,58,,
six.pnum,six.pnum,,59,,pnum
seven,seven,0037,60,,
seven.small,seven.small,,62,,
seven.pnum,seven.pnum,,63,,pnum
eight,eight,0038,64,,
eight.small,eight.small,,66,,
eight.pnum,eight.pnum,,67,,pnum
nine,nine,0039,68,,
nine.small,nine.small,,70,,
nine.pnum,nine.pnum,,71,,pnum
colon,colon,003A,72,,
semicolon,semicolon,003B,74,,
less,less,003C,75,,
equal,equal,003D,76,,
greater,greater,003E,77,,
question,question,003F,78,,
at,at,0040,79,,
A,A,0041,80,,
B,B,0042,81,,
C,C,0043,82,,
D,D,0044,83,,
E,E,0045,84,,
F,F,0046,85,,
G,G,0047,86,,
H,H,0048,87,,
I,I,0049,88,,
J,J,004A,89,,
K,K,004B,90,,
L,L,004C,91,,
M,M,004D,92,,
N,N,004E,93,,
O,O,004F,94,,
P,P,0050,95,,
Q,Q,0051,96,,
R,R,0052,97,,
S,S,0053,98,,
T,T,0054,99,,
U,U,0055,100,,
V,V,0056,101,,
W,W,0057,102,,
X,X,0058,103,,
Y,Y,0059,104,,
Z,Z,005A,105,,
bracketleft,bracketleft,005B,106,,
bracketright,bracketright,005D,107,,
backslash,backslash,005C,108,,
underscore,underscore,005F,109,,
a,a,0061,110,,
b,b,0062,111,,
c,c,0063,112,,
d,d,0064,113,,
e,e,0065,114,,
f,f,0066,115,,
g,g,0067,116,,
h,h,0068,117,,
i,i,0069,118,,
j,j,006A,119,,
k,k,006B,120,,
l,l,006C,121,,
m,m,006D,122,,
n,n,006E,123,,
o,o,006F,124,,
p,p,0070,125,,
q,q,0071,126,,
r,r,0072,127,,
s,s,0073,128,,
t,t,0074,129,,
u,u,0075,130,,
v,v,0076,131,,
w,w,0077,132,,
x,x,0078,133,,
y,y,0079,134,,
z,z,007A,135,,
braceleft,braceleft,007B,136,,
braceright,braceright,007D,137,,
bar,bar,007C,138,,
asciitilde,asciitilde,007E,139,,
nbspace,uni00A0,00A0,140,,
nbspace-ar,uni00A0.ar,,141,,
exclamdown,exclamdown,00A1,142,,
cent,cent,00A2,143,,
sterling,sterling,00A3,144,,
currency,currency,00A4,145,,
yen,yen,00A5,146,,
brokenbar,brokenbar,00A6,147,,
section,section,00A7,148,,
copyright,copyright,00A9,149,,
registered,registered,00AE,150,,
ordfeminine,ordfeminine,00AA,151,,
guillemetleft,guillemotleft,00AB,152,,
logicalnot,logicalnot,00AC,154,,
softhyphen,uni00AD,00AD,155,,
degree,degree,00B0,156,,
plusminus,plusminus,00B1,157,,
asciicircum,asciicircum,005E,158,,
micro,mu,00B5,159,,
paragraph,paragraph,00B6,160,,
periodcentered,periodcentered,00B7,161,,
ordmasculine,ordmasculine,00BA,162,,
guillemetright,guillemotright,00BB,163,,
onesuperior,uni00B9,00B9,165,,
twosuperior,uni00B2,00B2,166,,
threesuperior,uni00B3,00B3,167,,
foursuperior,uni2074,2074,168,,
onehalf,onehalf,00BD,169,,
onequarter,onequarter,00BC,170,,
threequarters,threequarters,00BE,171,,
questiondown,questiondown,00BF,172,,
Agrave,Agrave,00C0,173,,
Aacute,Aacute,00C1,174,,
Acircumflex,Acircumflex,00C2,175,,
Atilde,Atilde,00C3,176,,
Adieresis,Adieresis,00C4,177,,
Aring,Aring,00C5,178,,
AE,AE,00C6,179,,
Ccedilla,Ccedilla,00C7,180,,
Egrave,Egrave,00C8,181,,
Eacute,Eacute,00C9,182,,
Ecircumflex,Ecircumflex,00CA,183,,
